STATION,PLATFORM,SERVING LINE,ORIGIN,DESTINATION,CONNECTION,DURATION,TRANSPORT_MODE,DELAY,STATUS
MILCHHOF,Milchhof::1,U12,Neckargröningen Remseck,Dürrlewang,U12:Neckargröningen Remseck-Dürrlewang,29,Stadtbahn,0,On time
MILLÖCKERSTRASSE,Millöckerstraße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,35,Stadtbahn,0,On time
FAUSTSTRASSE,Fauststraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),42,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 4,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,7,Stadtbahn,0,On time
MILLÖCKERSTRASSE,Millöckerstraße::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,3,Stadtbahn,0,On time
MILCHHOF,Milchhof::2,U12,Dürrlewang,Neckargröningen Remseck,U12:Dürrlewang-Neckargröningen Remseck,24,Stadtbahn,0,On time
FAUSTSTRASSE,Fauststraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,2,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,10,Stadtbahn,0,On time
MILLÖCKERSTRASSE,Millöckerstraße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,35,Stadtbahn,0,On time
MILCHHOF,Milchhof::1,U12,Neckargröningen Remseck,Dürrlewang,U12:Neckargröningen Remseck-Dürrlewang,29,Stadtbahn,0,On time
FAUSTSTRASSE,Fauststraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),42,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 3,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,22,Stadtbahn,0,On time
MILLÖCKERSTRASSE,Millöckerstraße::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,3,Stadtbahn,0,On time
MILCHHOF,Milchhof::2,U12,Dürrlewang,Neckargröningen Remseck,U12:Dürrlewang-Neckargröningen Remseck,24,Stadtbahn,0,On time
FAUSTSTRASSE,Fauststraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,2,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,18,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 4,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,7,Stadtbahn,0,On time
WIELANDSTRASSE,Wielandstraße::4,40,Vogelsang,Wagenburgstraße,40:Vogelsang-Wagenburgstraße,28,Bus,0,On time
BUDAPESTER_PLATZ,Budapester Platz::2,U12,Dürrlewang,Neckargröningen Remseck,U12:Dürrlewang-Neckargröningen Remseck,25,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 3,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,22,Stadtbahn,0,On time
VAIHINGEN_VIADUKT,Vaihingen Viadukt::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),41,Stadtbahn,0,On time
WIELANDSTRASSE,Wielandstraße::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,3,Bus,0,On time
BUDAPESTER_PLATZ,Budapester Platz::1,U12,Neckargröningen Remseck,Dürrlewang,U12:Neckargröningen Remseck-Dürrlewang,27,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,10,Stadtbahn,0,On time
VAIHINGEN_VIADUKT,Vaihingen Viadukt::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,3,Stadtbahn,0,On time
WIELANDSTRASSE,Wielandstraße::4,40,Vogelsang,Wagenburgstraße,40:Vogelsang-Wagenburgstraße,28,Bus,0,On time
BUDAPESTER_PLATZ,Budapester Platz::2,U12,Dürrlewang,Neckargröningen Remseck,U12:Dürrlewang-Neckargröningen Remseck,25,Stadtbahn,0,On time
VAIHINGEN_VIADUKT,Vaihingen Viadukt::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),41,Stadtbahn,0,On time
WIELANDSTRASSE,Wielandstraße::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,3,Bus,0,On time
BUDAPESTER_PLATZ,Budapester Platz::1,U12,Neckargröningen Remseck,Dürrlewang,U12:Neckargröningen Remseck-Dürrlewang,27,Stadtbahn,0,On time
VAIHINGEN_VIADUKT,Vaihingen Viadukt::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,3,Stadtbahn,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,19,Stadtbahn,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,6,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,32,Stadtbahn,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,23,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,6,Stadtbahn,0,On time
ENGELBOLDSTRASSE,Engelboldstraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,5,Stadtbahn,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,9,Stadtbahn,0,On time
GNESENER_STRASSE,Gnesener Straße::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,41,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::6,40,Vogelsang,Wagenburgstraße,40:Vogelsang-Wagenburgstraße,29,Bus,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,19,Stadtbahn,0,On time
ENGELBOLDSTRASSE,Engelboldstraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),40,Stadtbahn,0,On time
GNESENER_STRASSE,Gnesener Straße::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,6,Stadtbahn,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,6,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::5,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,2,Bus,0,On time
ENGELBOLDSTRASSE,Engelboldstraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,5,Stadtbahn,0,On time
GNESENER_STRASSE,Gnesener Straße::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,34,Stadtbahn,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,23,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,32,Stadtbahn,0,On time
GNESENER_STRASSE,Gnesener Straße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,6,Stadtbahn,0,On time
ENGELBOLDSTRASSE,Engelboldstraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),40,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,6,Stadtbahn,0,On time
BRENDLE__GROSSMARKT,Brendle (Großmarkt)::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,9,Stadtbahn,0,On time
GNESENER_STRASSE,Gnesener Straße::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,41,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::6,40,Vogelsang,Wagenburgstraße,40:Vogelsang-Wagenburgstraße,29,Bus,0,On time
GNESENER_STRASSE,Gnesener Straße::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,6,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,1,Stadtbahn,0,On time
HERDERPLATZ,Herderplatz::5,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,2,Bus,0,On time
GNESENER_STRASSE,Gnesener Straße::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,34,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,10,Stadtbahn,0,On time
IM_DEGEN,Im Degen::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,24,Stadtbahn,0,On time
GNESENER_STRASSE,Gnesener Straße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,6,Stadtbahn,0,On time
IM_DEGEN,Im Degen::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,4,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,36,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,8,Stadtbahn,0,On time
IM_DEGEN,Im Degen::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,21,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),35,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,30,Stadtbahn,0,On time
IM_DEGEN,Im Degen::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,8,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz (Seilbahn)::3,20,Südheimer Platz (Seilbahn),Waldfriedhof,20:Südheimer Platz (Seilbahn)-Waldfriedhof,4,Seilbahn,0,On time
KURSAAL,Kursaal::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,8,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,28,Stadtbahn,0,On time
IM_DEGEN,Im Degen::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,24,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,1,Stadtbahn,0,On time
KURSAAL,Kursaal::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,39,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,0,Stadtbahn,0,On time
IM_DEGEN,Im Degen::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,4,Stadtbahn,0,On time
KURSAAL,Kursaal::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,8,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,36,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,8,Stadtbahn,0,On time
IM_DEGEN,Im Degen::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,21,Stadtbahn,0,On time
KURSAAL,Kursaal::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,32,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,30,Stadtbahn,0,On time
IM_DEGEN,Im Degen::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,8,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,10,Stadtbahn,0,On time
KURSAAL,Kursaal::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,8,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,0,Stadtbahn,0,On time
SÜDHEIMER_PLATZ,Südheimer Platz::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),35,Stadtbahn,0,On time
KURSAAL,Kursaal::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,39,Stadtbahn,0,On time
ARNDT__SPITTASTRASSE,Arndt-/Spittastraße::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,28,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,7,Stadtbahn,0,On time
KURSAAL,Kursaal::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,8,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,25,Stadtbahn,0,On time
KURSAAL,Kursaal::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,32,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),33,Stadtbahn,0,On time
RAITELSBERG,Raitelsberg::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,13,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,22,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,3,Stadtbahn,0,On time
RAITELSBERG,Raitelsberg::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,15,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,3,Stadtbahn,0,On time
RAITELSBERG,Raitelsberg::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,13,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,7,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,12,Stadtbahn,0,On time
RAITELSBERG,Raitelsberg::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,15,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,25,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,34,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,30,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,22,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),33,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,9,Stadtbahn,0,On time
INSELSTRASSE,Inselstraße::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,3,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,3,Stadtbahn,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::2,U13,Eszet,Hedelfingen,U13:Eszet-Hedelfingen,3,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,37,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,12,Stadtbahn,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::1,U13,Hedelfingen,Eszet,U13:Hedelfingen-Eszet,6,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,9,Stadtbahn,0,On time
GROSSGLOCKNERSTRASSE,Großglocknerstraße::3,61,Obertürkheim Bf,Rotenberg,61:Obertürkheim Bf-Rotenberg,8,Bus,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,3,Stadtbahn,0,On time
BIHLPLATZ,Bihlplatz::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,34,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,30,Stadtbahn,0,On time
GROSSGLOCKNERSTRASSE,Großglocknerstraße::4,61,Obertürkheim Bf,Rotenberg,61:Obertürkheim Bf-Rotenberg,8,Bus,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,25,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,9,Stadtbahn,0,On time
GROSSGLOCKNERSTRASSE,Großglocknerstraße::4,61,Rotenberg,Obertürkheim Bf,61:Rotenberg-Obertürkheim Bf,6,Bus,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::2,U13,Eszet,Hedelfingen,U13:Eszet-Hedelfingen,3,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,37,Stadtbahn,0,On time
GROSSGLOCKNERSTRASSE,Großglocknerstraße::4,60,Untertürkheim Bf,Oeffingen Dieselstraße,60:Untertürkheim Bf-Oeffingen Dieselstraße,35,Bus,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::1,U13,Hedelfingen,Eszet,U13:Hedelfingen-Eszet,6,Stadtbahn,0,On time
NECKARTOR,Neckartor::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),22,Stadtbahn,0,On time
DAIMLERPLATZ,Daimlerplatz::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,9,Stadtbahn,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,25,Stadtbahn,0,On time
NECKARTOR,Neckartor::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,20,Stadtbahn,0,On time
WANGEN_MARKTPLATZ,Wangen Marktplatz::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,3,Stadtbahn,0,On time
NECKARTOR,Neckartor::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,22,Stadtbahn,0,On time
WIMPFENER_STRASSE,Wimpfener Straße::2,U15,Ruhbank (Fernsehturm),Stammheim,U15:Ruhbank (Fernsehturm)-Stammheim,5,Stadtbahn,0,On time
NECKARTOR,Neckartor::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,18,Stadtbahn,0,On time
NÄGELESTRASSE,Nägelestraße::1,10,Marienplatz,Degerloch,10:Marienplatz-Degerloch,3,Zahnradbahn,0,On time
WIMPFENER_STRASSE,Wimpfener Straße::1,U15,Stammheim,Ruhbank (Fernsehturm),U15:Stammheim-Ruhbank (Fernsehturm),35,Stadtbahn,0,On time
NECKARTOR,Neckartor::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,16,Stadtbahn,0,On time
NÄGELESTRASSE,Nägelestraße::2,10,Degerloch,Marienplatz,10:Degerloch-Marienplatz,8,Zahnradbahn,0,On time
WIMPFENER_STRASSE,Wimpfener Straße::2,U15,Ruhbank (Fernsehturm),Stammheim,U15:Ruhbank (Fernsehturm)-Stammheim,5,Stadtbahn,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::1,U13,Hedelfingen,Eszet,U13:Hedelfingen-Eszet,7,Stadtbahn,0,On time
NECKARTOR,Neckartor::1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,18,Stadtbahn,0,On time
NÄGELESTRASSE,Nägelestraße::1,10,Marienplatz,Degerloch,10:Marienplatz-Degerloch,3,Zahnradbahn,0,On time
WIMPFENER_STRASSE,Wimpfener Straße::1,U15,Stammheim,Ruhbank (Fernsehturm),U15:Stammheim-Ruhbank (Fernsehturm),35,Stadtbahn,0,On time
NECKARTOR,Neckartor::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,18,Stadtbahn,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::2,U13,Eszet,Hedelfingen,U13:Eszet-Hedelfingen,2,Stadtbahn,0,On time
NECKARTOR,Neckartor::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,12,Stadtbahn,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,26,Stadtbahn,0,On time
WIELANDSHÖHE,Wielandshöhe::2,10,Degerloch,Marienplatz,10:Degerloch-Marienplatz,5,Zahnradbahn,0,On time
ZAHN_NOPPER_STRASSE,Zahn-Nopper-Straße::6,508,Ludwigsburg ZOB,Zuffenhausen Bf,508:Ludwigsburg ZOB-Zuffenhausen Bf,6,Bus,0,On time
NECKARTOR,Neckartor::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,18,Stadtbahn,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,2,Stadtbahn,0,On time
WIELANDSHÖHE,Wielandshöhe::1,10,Marienplatz,Degerloch,10:Marienplatz-Degerloch,6,Zahnradbahn,0,On time
ZAHN_NOPPER_STRASSE,Zahn-Nopper-Straße::3,99,Zuffenhausen Bf,Korntaler Straße,99:Zuffenhausen Bf-Korntaler Straße,15,Bus,0,On time
NECKARTOR,Neckartor::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,10,Stadtbahn,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::1,U13,Hedelfingen,Eszet,U13:Hedelfingen-Eszet,7,Stadtbahn,0,On time
ZAHN_NOPPER_STRASSE,Zahn-Nopper-Straße::7,508,Zuffenhausen Bf,Ludwigsburg ZOB,508:Zuffenhausen Bf-Ludwigsburg ZOB,33,Bus,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::2,U13,Eszet,Hedelfingen,U13:Eszet-Hedelfingen,2,Stadtbahn,0,On time
NECKARTOR,Neckartor::1,U1,Mineralbäder,Vaihingen Bf,U1:Mineralbäder-Vaihingen Bf,27,Stadtbahn,0,On time
PFAFFENWEG,Pfaffenweg::2,10,Degerloch,Marienplatz,10:Degerloch-Marienplatz,4,Zahnradbahn,0,On time
ZAHN_NOPPER_STRASSE,Zahn-Nopper-Straße::4,99,Korntaler Straße,Zuffenhausen Bf,99:Korntaler Straße-Zuffenhausen Bf,3,Bus,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,26,Stadtbahn,0,On time
NECKARTOR,Neckartor::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),22,Stadtbahn,0,On time
PFAFFENWEG,Pfaffenweg::1,10,Marienplatz,Degerloch,10:Marienplatz-Degerloch,8,Zahnradbahn,0,On time
HEDELFINGER_STRASSE,Stadtwerke Stuttgart::2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,2,Stadtbahn,0,On time
NECKARTOR,Neckartor::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,20,Stadtbahn,0,On time
PFAFFENWEG,Pfaffenweg::2,10,Degerloch,Marienplatz,10:Degerloch-Marienplatz,4,Zahnradbahn,0,On time
ZUFFENHAUSEN_RATHAUS,Zuffenhausen Rathaus::2,U15,Ruhbank (Fernsehturm),Stammheim,U15:Ruhbank (Fernsehturm)-Stammheim,8,Stadtbahn,0,On time
NECKARTOR,Neckartor::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,22,Stadtbahn,0,On time
ZUFFENHAUSEN_RATHAUS,Zuffenhausen Rathaus::1,U15,Stammheim,Ruhbank (Fernsehturm),U15:Stammheim-Ruhbank (Fernsehturm),,Stadtbahn,0,On time
LISTSTRASSE,Liststraße::2,10,Degerloch,Marienplatz,10:Degerloch-Marienplatz,2,Zahnradbahn,0,On time
BÖRSENPLATZ,Börsenplatz::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,6,Stadtbahn,0,On time
NECKARTOR,Neckartor::2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,18,Stadtbahn,0,On time
ZUFFENHAUSEN_RATHAUS,Zuffenhausen Rathaus::2,U15,Ruhbank (Fernsehturm),Stammheim,U15:Ruhbank (Fernsehturm)-Stammheim,8,Stadtbahn,0,On time
